Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,3,0,22.0,1,0,7.25,,1
1,1,1,38.0,1,0,71.2833,C85,2
1,3,1,26.0,0,0,7.925,,1
1,1,1,35.0,1,0,53.1,C123,1
0,3,0,35.0,0,0,8.05,,1
0,3,0,29.69911764705882,0,0,8.4583,,0
0,1,0,54.0,0,0,51.8625,E46,1
0,3,0,2.0,3,1,21.075,,1
1,3,1,27.0,0,2,11.1333,,1
1,2,1,14.0,1,0,30.0708,,2
1,3,1,4.0,1,1,16.7,G6,1
1,1,1,58.0,0,0,26.55,C103,1
0,3,0,20.0,0,0,8.05,,1
0,3,0,39.0,1,5,31.275,,1
0,3,1,14.0,0,0,7.8542,,1
1,2,1,55.0,0,0,16.0,,1
0,3,0,2.0,4,1,29.125,,0
1,2,0,29.69911764705882,0,0,13.0,,1
0,3,1,31.0,1,0,18.0,,1
1,3,1,29.69911764705882,0,0,7.225,,2
0,2,0,35.0,0,0,26.0,,1
1,2,0,34.0,0,0,13.0,D56,1
1,3,1,15.0,0,0,8.0292,,0
1,1,0,28.0,0,0,35.5,A6,1
0,3,1,8.0,3,1,21.075,,1
1,3,1,38.0,1,5,31.3875,,1
0,3,0,29.69911764705882,0,0,7.225,,2
0,1,0,19.0,3,2,263.0,C23 C25 C27,1
1,3,1,29.69911764705882,0,0,7.8792,,0
0,3,0,29.69911764705882,0,0,7.8958,,1
0,1,0,40.0,0,0,27.7208,,2
1,1,1,29.69911764705882,1,0,146.5208,B78,2
1,3,1,29.69911764705882,0,0,7.75,,0
0,2,0,66.0,0,0,10.5,,1
0,1,0,28.0,1,0,82.1708,,2
0,1,0,42.0,1,0,52.0,,1
1,3,0,29.69911764705882,0,0,7.2292,,2
0,3,0,21.0,0,0,8.05,,1
0,3,1,18.0,2,0,18.0,,1
1,3,1,14.0,1,0,11.2417,,2
0,3,1,40.0,1,0,9.475,,1
0,2,1,27.0,1,0,21.0,,1
0,3,0,29.69911764705882,0,0,7.8958,,2
1,2,1,3.0,1,2,41.5792,,2
1,3,1,19.0,0,0,7.8792,,0
0,3,0,29.69911764705882,0,0,8.05,,1
0,3,0,29.69911764705882,1,0,15.5,,0
1,3,1,29.69911764705882,0,0,7.75,,0
0,3,0,29.69911764705882,2,0,21.6792,,2
0,3,1,18.0,1,0,17.8,,1
0,3,0,7.0,4,1,39.6875,,1
0,3,0,21.0,0,0,7.8,,1
1,1,1,49.0,1,0,76.7292,D33,2
1,2,1,29.0,1,0,26.0,,1
0,1,0,65.0,0,1,61.9792,B30,2
1,1,0,29.69911764705882,0,0,35.5,C52,1
1,2,1,21.0,0,0,10.5,,1
0,3,0,28.5,0,0,7.2292,,2
1,2,1,5.0,1,2,27.75,,1
0,3,0,11.0,5,2,46.9,,1
0,3,0,22.0,0,0,7.2292,,2
1,1,1,38.0,0,0,80.0,B28,1
0,1,0,45.0,1,0,83.475,C83,1
0,3,0,4.0,3,2,27.9,,1
0,1,0,29.69911764705882,0,0,27.7208,,2
1,3,0,29.69911764705882,1,1,15.2458,,2
1,2,1,29.0,0,0,10.5,F33,1
0,3,0,19.0,0,0,8.1583,,1
1,3,1,17.0,4,2,7.925,,1
0,3,0,26.0,2,0,8.6625,,1
0,2,0,32.0,0,0,10.5,,1
0,3,1,16.0,5,2,46.9,,1
0,2,0,21.0,0,0,73.5,,1
0,3,0,26.0,1,0,14.4542,,2
1,3,0,32.0,0,0,56.4958,,1
0,3,0,25.0,0,0,7.65,F G73,1
0,3,0,29.69911764705882,0,0,7.8958,,1
0,3,0,29.69911764705882,0,0,8.05,,1
1,2,0,0.83,0,2,29.0,,1
1,3,1,30.0,0,0,12.475,,1
0,3,0,22.0,0,0,9.0,,1
1,3,0,29.0,0,0,9.5,,1
1,3,1,29.69911764705882,0,0,7.7875,,0
0,1,0,28.0,0,0,47.1,,1
1,2,1,17.0,0,0,10.5,,1
1,3,1,33.0,3,0,15.85,,1
0,3,0,16.0,1,3,34.375,,1
0,3,0,29.69911764705882,0,0,8.05,,1
1,1,1,23.0,3,2,263.0,C23 C25 C27,1
0,3,0,24.0,0,0,8.05,,1
0,3,0,29.0,0,0,8.05,,1
0,3,0,20.0,0,0,7.8542,,1
0,1,0,46.0,1,0,61.175,E31,1
0,3,0,26.0,1,2,20.575,,1
0,3,0,59.0,0,0,7.25,,1
0,3,0,29.69911764705882,0,0,8.05,,1
0,1,0,71.0,0,0,34.6542,A5,2
1,1,0,23.0,0,1,63.3583,D10 D12,2
1,2,1,34.0,0,1,23.0,,1
0,2,0,34.0,1,0,26.0,,1
0,3,1,28.0,0,0,7.8958,,1
0,3,0,29.69911764705882,0,0,7.8958,,1
0,1,0,21.0,0,1,77.2875,D26,1
0,3,0,33.0,0,0,8.6542,,1
0,3,0,37.0,2,0,7.925,,1
0,3,0,28.0,0,0,7.8958,,1
1,3,1,21.0,0,0,7.65,,1
1,3,0,29.69911764705882,0,0,7.775,,1
0,3,0,38.0,0,0,7.8958,,1
1,3,1,29.69911764705882,1,0,24.15,,0
0,1,0,47.0,0,0,52.0,C110,1
0,3,1,14.5,1,0,14.4542,,2
0,3,0,22.0,0,0,8.05,,1
0,3,1,20.0,1,0,9.825,,1
0,3,1,17.0,0,0,14.4583,,2
0,3,0,21.0,0,0,7.925,,1
0,3,0,70.5,0,0,7.75,,0
0,2,0,29.0,1,0,21.0,,1
0,1,0,24.0,0,1,247.5208,B58 B60,2
0,3,1,2.0,4,2,31.275,,1
0,2,0,21.0,2,0,73.5,,1
0,3,0,29.69911764705882,0,0,8.05,,1
0,2,0,32.5,1,0,30.0708,,2
1,2,1,32.5,0,0,13.0,E101,1
0,1,0,54.0,0,1,77.2875,D26,1
1,3,0,12.0,1,0,11.2417,,2
0,3,0,29.69911764705882,0,0,7.75,,0
1,3,0,24.0,0,0,7.1417,,1
1,3,1,29.69911764705882,1,1,22.3583,F E69,2
0,3,0,45.0,0,0,6.975,,1
0,3,0,33.0,0,0,7.8958,,2
0,3,0,20.0,0,0,7.05,,1
0,3,1,47.0,1,0,14.5,,1
1,2,1,29.0,1,0,26.0,,1
0,2,0,25.0,0,0,13.0,,1
0,2,0,23.0,0,0,15.0458,,2
1,1,1,19.0,0,2,26.2833,D47,1
0,1,0,37.0,1,0,53.1,C123,1
0,3,0,16.0,0,0,9.2167,,1
0,1,0,24.0,0,0,79.2,B86,2
0,3,1,29.69911764705882,0,2,15.2458,,2
1,3,1,22.0,0,0,7.75,,1
1,3,1,24.0,1,0,15.85,,1
0,3,0,19.0,0,0,6.75,,0
0,2,0,18.0,0,0,11.5,,1
0,2,0,19.0,1,1,36.75,,1
1,3,0,27.0,0,0,7.7958,,1
0,3,1,9.0,2,2,34.375,,1
0,2,0,36.5,0,2,26.0,F2,1
0,2,0,42.0,0,0,13.0,,1
0,2,0,51.0,0,0,12.525,,1
1,1,1,22.0,1,0,66.6,C2,1
0,3,0,55.5,0,0,8.05,,1
0,3,0,40.5,0,2,14.5,,1
0,3,0,29.69911764705882,0,0,7.3125,,1
0,1,0,51.0,0,1,61.3792,,2
1,3,1,16.0,0,0,7.7333,,0
0,3,0,30.0,0,0,8.05,,1
0,3,0,29.69911764705882,0,0,8.6625,,1
0,3,0,29.69911764705882,8,2,69.55,,1
0,3,0,44.0,0,1,16.1,,1
1,2,1,40.0,0,0,15.75,,1
0,3,0,26.0,0,0,7.775,,1
0,3,0,17.0,0,0,8.6625,,1
0,3,0,1.0,4,1,39.6875,,1
1,3,0,9.0,0,2,20.525,,1
1,1,1,29.69911764705882,0,1,55.0,E33,1
0,3,1,45.0,1,4,27.9,,1
0,1,0,29.69911764705882,0,0,25.925,,1
0,3,0,28.0,0,0,56.4958,,1
0,1,0,61.0,0,0,33.5,B19,1
0,3,0,4.0,4,1,29.125,,0
1,3,1,1.0,1,1,11.1333,,1
0,3,0,21.0,0,0,7.925,,1
0,1,0,56.0,0,0,30.6958,A7,2
0,3,0,18.0,1,1,7.8542,,1
0,3,0,29.69911764705882,3,1,25.4667,,1
0,1,1,50.0,0,0,28.7125,C49,2
0,2,0,30.0,0,0,13.0,,1
0,3,0,36.0,0,0,0.0,,1
0,3,1,29.69911764705882,8,2,69.55,,1
0,2,0,29.69911764705882,0,0,15.05,,2
